programAk,tradeName,displayTradeName,promptTradeName,socCode,description
16544,Insulation and Asbestos Worker,Insulation and Asbestos Worker,Insulation and Asbestos Worker,47-2131.00,"An Insulation and Asbestos Worker installs and removes materials that cover pipes, ducts, boilers, walls, and ceilings. They measure, cut, fit, wrap, and fasten insulation, and in older buildings they seal off areas and safely remove asbestos-containing materials. Their work helps control heat and noise, save energy, and keep buildings safer for the people inside."
16553,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
16578,"Painter, Decorator & Paperhanger","Painter, Decorator, and Paperhanger","Painter, Decorator, and Paperhanger",47-2141.00,"A Painter, Decorator, and Paperhanger finishes and updates indoor and outdoor surfaces in homes, offices, and other buildings. They prepare walls and woodwork, scrape and sand old finishes, fill holes, apply paint or stain, and hang wallpaper neatly and straight. Their work protects surfaces from wear and moisture and makes rooms cleaner, brighter, and easier to maintain."
16619,Elevator/Escalator Constructor & Modernizer,Elevator/Escalator Constructor and Modernizer,Elevator/Escalator Constructor and Modernizer,47-4021.00,"An Elevator/Escalator Constructor and Modernizer installs, rebuilds, and updates elevators, escalators, and moving walkways in buildings. They assemble rails, cars, doors, motors, wiring, and control systems, then test, adjust, and repair equipment so it runs smoothly. Their work keeps people and goods moving safely and reliably through everyday places like offices, malls, and hospitals."
16627,Project Manager,Project Manager,Project Manager,15-1299.09,"A Project Manager plans and leads a project from start to finish. They set schedules, track budgets, assign work, run meetings, solve problems, and keep workers, clients, and suppliers informed as the job moves forward. Their work helps teams stay organized, deadlines get met, and projects get built, delivered, or improved with fewer delays and mistakes."
16648,Packer Mechanic,Packer Mechanic,Packer Mechanic,49-9041.00,"A Packer Mechanic installs, adjusts, repairs, and maintains packing machines that fill, seal, label, and box products in factories or warehouses. They troubleshoot jams, replace worn parts, test controls, and keep equipment running smoothly during production. Their work helps goods get packed correctly, reduces breakdowns, and keeps production lines running safely and efficiently."
16708,Small Gas Engine and Equipment Mechanic,Small Gas Engine and Equipment Mechanic,Small Gas Engine and Equipment Mechanic,49-3053.00,"A Small Gas Engine and Equipment Mechanic repairs and maintains machines powered by small gasoline engines, such as lawn mowers, chainsaws, snowblowers, and generators. They inspect parts, test engines, change plugs and filters, adjust carburetors, and replace worn components using hand and power tools. Their work keeps outdoor equipment running safely and reliably."
16757,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
16813,"Painter, Decorator & Paperhanger","Painter, Decorator, and Paperhanger","Painter, Decorator, and Paperhanger",47-2141.00,"A Painter, Decorator, and Paperhanger finishes and updates indoor and outdoor surfaces in homes, offices, and other buildings. They prepare walls and woodwork, scrape and sand old finishes, fill holes, apply paint or stain, and hang wallpaper neatly and straight. Their work protects surfaces from wear and moisture and makes rooms cleaner, brighter, and easier to maintain."
16871,Electronics Mechanic (CNC Systems Maintenance),Electronics Mechanic,Electronics Mechanic (CNC Systems Maintenance),47-2111.00,"An Electronics Mechanic who maintains CNC systems installs, tests, troubleshoots, and repairs the electronic controls in computer-guided machines. They trace wiring, replace circuit boards, calibrate sensors, and use meters and diagrams to find faults on the shop floor. Their work keeps factory machines running accurately, safely, and with less downtime."
16908,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
16947,Toolmaker,Toolmaker,Toolmaker,51-4111.00,"A Toolmaker makes, repairs, and adjusts the metal tools used to shape parts in factories, such as molds, dies, jigs, and gauges. They read drawings, measure with precision tools, cut and grind metal, and fit pieces together by hand or machine. Their work keeps production accurate, machines running, and finished products consistent."
16985,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
17076,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
17082,Plumber and Pipefitter,Plumber and Pipefitter,Plumber and Pipefitter,47-2152.00,"A Plumber and Pipefitter installs, repairs, and maintains pipes that carry water, gas, steam, and waste in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, test for leaks, and troubleshoot broken systems using hand and power tools. Their work keeps water flowing, heat working, and buildings safe and usable."
